dest_airport_id,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10529,3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10529,4,6.0,0.0,0.0,0.0,0.0,0.0,0.015267175572519083,0.007633587786259542
10529,5,13.0,0.0,0.0,0.0,0.0,0.0,0.013245033112582781,0.0
10529,6,19.0,0.0,0.0,0.0,0.0,0.0,0.041379310344827586,0.0
10529,7,17.0,0.0,0.0,0.0,0.0,0.0,0.013605442176870748,0.0
10529,8,10.0,0.0,0.0,0.0,0.0,0.0,0.03977272727272727,0.0
10529,9,9.0,0.0,0.0,0.0,0.0,0.0,0.02608695652173913,0.0
10529,10,8.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.0
10529,11,9.0,0.0,0.0,0.0,0.0,0.0,0.006756756756756757,0.0
10529,12,7.5,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0
10551,1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,2,9.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0
10551,3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,8,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,9,66.0,63.0,3.0,0.0,0.0,0.0,0.0,0.0
10551,10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,11,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10551,12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,1,37.0,0.0,2.0,37.5,0.0,0.0,0.0,0.0
10558,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,3,22.5,6.0,12.5,4.0,0.0,0.0,0.0,0.0
10558,4,33.0,17.0,7.5,7.0,0.0,0.0,0.0,0.0
10558,5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,7,52.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
10558,9,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10558,10,18.0,9.5,0.0,8.5,0.0,0.0,0.0,0.0
10558,11,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,1,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,2,35.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
10561,3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,5,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,6,33.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,7,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,8,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,10,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10561,12,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10562,5,36.0,2.0,15.0,8.0,0.0,0.0,0.0,0.0
10562,7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10562,10,20.5,1.5,0.0,25.0,0.0,0.0,0.0,0.0
10577,1,13.5,0.0,0.0,13.5,0.0,0.0,0.0,0.0
10577,2,75.0,0.0,0.0,4.0,71.0,0.0,1.0,0.0
10577,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10577,4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10577,5,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
10577,6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10577,7,19.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
10577,8,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10577,9,44.5,0.0,32.0,12.5,0.0,0.0,0.0,0.0
10577,10,34.0,0.0,1.5,3.5,26.0,0.0,0.5,0.0
10577,11,22.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
10577,12,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,2,17.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
10581,3,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,6,20.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0
10581,7,15.5,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
10581,8,11.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0
10581,9,13.5,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0
10581,10,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,11,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10581,12,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10590,2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10599,1,8.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0
10599,2,12.0,0.0,0.0,0.0,0.0,0.0,0.06741573033707865,0.0
10599,3,11.5,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0
10599,4,10.5,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0
10599,5,13.5,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0
10599,6,22.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.0
10599,7,17.0,0.0,0.0,0.0,0.0,0.0,0.04310344827586207,0.0
10599,8,12.0,0.0,0.0,0.0,0.0,0.0,0.028846153846153848,0.0
10599,9,11.5,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0
10599,10,12.5,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.0
10599,11,10.5,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0
10599,12,10.5,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0
10620,1,9.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
10620,2,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,3,9.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0
10620,4,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,7,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,8,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,9,16.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0
10620,10,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10620,12,11.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
10627,1,18.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
10627,2,30.5,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0
10627,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,4,11.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
10627,5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,6,29.5,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,0.0
10627,7,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,8,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,9,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,10,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,11,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10627,12,14.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0
10631,1,3.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
10631,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10631,3,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
10631,4,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10631,5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
