tail_num,dep_delay,arr_delay,isCraft,isCarrier
N152AA,10.0,11.5,0.16591422121896163,0.6918735891647856
N152DL,9.0,6.0,0.024390243902439025,0.9024390243902439
N152GJ,17.0,20.0,0.2479627473806752,0.570430733410943
N152SY,7.0,14.0,0.14123711340206185,0.6412371134020619
N152UW,10.0,11.0,0.15851063829787235,0.7031914893617022
N153AN,9.0,12.0,0.17445482866043613,0.6915887850467289
N153DL,11.5,8.0,0.0,0.8
N153GJ,14.0,18.0,0.2672955974842767,0.5649895178197065
N153PQ,16.0,17.0,0.23431952662721894,0.5857988165680473
N153SY,6.0,12.0,0.12961011591148577,0.6554267650158061
N153UW,9.0,10.0,0.1427038626609442,0.7199570815450643
N154AA,10.0,11.0,0.15494505494505495,0.6934065934065934
N154DL,9.0,7.0,0.02666666666666667,0.84
N154GJ,19.0,21.0,0.26255380200860834,0.5767575322812052
N154SY,4.0,12.0,0.16509926854754442,0.6238244514106583
N154UW,9.0,9.0,0.14755959137343927,0.7446083995459705
N15555,9.0,18.0,0.16198979591836735,0.5701530612244898
N15572,10.0,17.0,0.18114143920595532,0.5620347394540943
N15574,9.0,17.0,0.17654171704957677,0.5731559854897219
N155DL,6.5,8.0,0.09210526315789473,0.7894736842105263
N155GJ,17.0,23.0,0.25937834941050375,0.5359056806002144
N155NN,11.0,11.0,0.15705128205128205,0.6987179487179487
N155UW,10.0,10.0,0.14980544747081712,0.708171206225681
N156AN,10.0,12.0,0.1775486827033219,0.6678121420389461
N156DL,13.0,7.0,0.0821917808219178,0.7671232876712328
N156GJ,14.0,20.0,0.25477707006369427,0.5554140127388535
N156SY,8.0,12.0,0.1536113936927772,0.6398779247202442
N156UW,9.0,10.0,0.1566502463054187,0.7034482758620689
N15710,18.0,20.0,0.2530949105914718,0.515818431911967
N15712,10.0,15.0,0.19155844155844157,0.577922077922078
N15751,8.0,13.0,0.15469613259668508,0.6095764272559853
N157AA,10.0,11.0,0.16350710900473933,0.6883886255924171
N157GJ,18.0,22.0,0.2958748221906117,0.5078236130867709
N157SY,6.0,11.0,0.1498371335504886,0.6503800217155266
